Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,11.6,20.4,4.4,16,988,61,21.9,333,71,2597,2556,223,301,90,304,214,22,-18.3,38.9,-9999,955,603,63,14.25,1282
Canton Creek,57,43.4137,-122.7804,503,11.6,21.4,3.9,17.5,1076,75,20,284.6,83,2635,2621,277,294,97,305,209,31,-19.4,39.3,-9999,980,620,62,18.52,1357
Rock Creek,11,43.37876,-122.9521,295,12,21.6,4,17.6,1138,69,19.4,313.3,73,2775,2474,306,299,92,302,211,27,-18.5,40,-9999,1023,654,61,19.57,1440
O'Neil Creek,9,41.80979,-123.1189,487,12.8,24.8,3.7,21,785,84,29.1,294,78,3088,2396,513,288,102,303,201,18,-20.1,41.6,-9999,1133,767,58,-31.97,1734
Deep Creek,8,41.66546,-123.1134,694,13.7,26.4,3.8,22.6,256,55,92.3,479.1,72,3383,2245,673,292,98,310,213,4,-20.8,42.4,-9999,1179,975,57,-96.32,1989
Little Jameson Creek,7,39.74298,-120.704,1592,9.9,21.3,1.3,20,1166,73,17.1,293.6,166,2285,3175,233,231,132,282,150,159,-28,38.3,-9999,1049,700,56,19.76,1180
Oregon Creek,6,39.39704,-121.082,448,16.6,27.6,8,19.6,1406,30,18.9,911.8,24,4250,1460,927,336,57,335,278,5,-15.6,44.3,-9999,1321,893,56,-2.28,2581
Rainbow Pool,29,37.81878,-120.0073,833,14.5,25.2,6.6,18.6,999,20,24.6,1271.5,38,3572,1899,631,316,85,320,235,7,-20.1,42.9,-9999,1231,860,58,-22.33,2026
Carlon,28,37.81006,-119.8568,1320,12.7,23.4,4.9,18.5,1037,32,21.9,732.1,64,3015,2345,425,291,107,308,201,23,-23.3,40.3,-9999,1135,776,59,-5.49,1624
Buck Meadows,27,37.77722,-120.0633,830,14.9,25.7,7.1,18.6,1023,16,24.4,1566.9,34,3702,1802,674,321,79,323,244,6,-19.3,43.1,-9999,1256,878,58,-24.81,2119
Wawona,5,37.53822,-119.6514,1208,13.6,24.4,6,18.5,1098,37,21.5,656.9,50,3291,2130,534,301,100,312,213,15,-21.6,41,-9999,1196,799,58,-8.78,1823
Redwood Creek,4,36.68952,-118.9096,1677,11.4,22.2,3.2,19,977,38,21.9,591.7,95,2651,2712,322,272,116,302,186,38,-25.5,37.9,-9999,1061,684,61,2.49,1391
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,14.7,25.6,6.2,19.5,803,16,30.8,1641.2,40,3648,1884,682,335,57,333,276,5,-17,40.5,-9999,1151,854,66,-30.95,2090
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,11.9,22.4,3.9,18.5,861,20,25.4,1148.2,78,2761,2568,338,282,116,306,190,20,-23.7,37.9,-9999,1097,796,61,-13.72,1437
West Fork Mojave River,2,34.28425,-117.3754,1087,16.2,26.3,8.9,17.5,689,38,38,688.4,20,4101,1463,786,345,47,345,298,1,-15.2,41.4,-9999,1316,956,61,-62.01,2389
Mill Creek,12,34.07808,-116.8756,1992,10,20.5,2.4,18.1,881,60,22.7,342.3,128,2232,3111,196,237,147,293,146,35,-29.3,35.9,-9999,1075,752,59,-1.2,1097
Whitewater Canyon,17,33.99329,-116.6627,696,19.9,30.2,11.8,18.4,273,19,109.6,1570.6,8,5418,826,1505,363,14,359,345,0,-9.9,44.9,-9999,1516,1326,60,-136.65,3614
Sweetwater River,1,32.89913,-116.5865,1386,14.2,24.1,7.2,16.9,554,24,43.7,1000,33,3438,1934,536,322,87,327,240,2,-18,41.3,-9999,1267,970,60,-64.01,1861
Kitchen Creek,15,32.75206,-116.4522,1173,14.5,23.9,7.9,16,394,22,62.2,1084.3,27,3523,1817,532,312,106,322,216,1,-17.7,42.4,-9999,1409,1159,53,-99.69,1904
Hauser Creek,14,32.65822,-116.5323,788,16.1,25.2,9.7,15.5,276,15,94.6,1680.1,17,4071,1403,715,328,81,332,251,0,-15.4,44.5,-9999,1529,1342,50,-129.07,2339
