Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,8.6,15.4,26.1,17.3,0.4,3.6,10.8,5.6,4.5,9.5,18.4,11.5,445,318,54,347,11,23.5,27.1,7.4,67,14,0,9,129,451,1238,623,1213,800,121,635,0,6,164,38,47,71,92,78,26,5,0,7,70,249,434,174,0,34,379,60,72,62,56,64,27.67,15.24,-30.69,14.58
Canton Creek,57,43.4137,-122.7804,503,8.4,15.1,27.1,17.2,0.1,2.8,11.2,5.5,4.2,9,19.2,11.3,525,378,59,357,11.5,24.6,26.5,9.3,72,19,0,11,120,427,1304,623,1238,845,101,659,0,7,210,51,44,66,92,76,36,12,0,9,70,253,454,177,0,27,395,69,71,61,54,64,29.54,20.82,-34.16,14.75
Rock Creek,11,43.37876,-122.9521,295,8.8,16.5,28,17.8,0.4,3.5,11.2,5.3,4.6,10,19.6,11.5,573,358,56,390,10.7,23.6,25.3,7.7,67,14,0,10,136,499,1345,636,1209,756,82,640,0,12,232,50,47,70,92,76,37,6,0,9,72,269,472,184,0,47,416,73,72,59,52,62,32.18,16.82,-36.33,17.14
O'Neil Creek,9,41.80979,-123.1189,487,9.5,18.3,30.8,19.8,-0.1,3,12.1,5.2,4.7,10.6,21.4,12.5,307,165,49,159,12.5,25.7,23.8,11.4,64,13,0,9,143,558,1513,720,1197,701,53,592,0,20,370,89,42,64,92,74,16,3,0,4,82,305,529,216,0,176,480,116,67,53,48,56,21.36,-6.63,-46.84,-11.24
Deep Creek,8,41.66546,-123.1134,694,10,19.2,32.1,21,-0.3,3.6,13.5,6.2,4.8,11.4,22.8,13.6,86,54,41,57,13.5,26.3,23.9,12.8,62,11,0,7,152,622,1638,810,1185,644,35,530,0,30,480,122,41,68,92,76,4,0,0,1,86,318,548,225,15,264,507,167,65,53,49,56,0.16,-20.1,-52.64,-24.26
Little Jameson Creek,7,39.74298,-120.704,1592,7.2,14.7,25.9,18,-3.5,0.5,9.3,3.4,1.9,7.6,17.6,10.7,479,435,47,192,14.1,23.3,19.6,16.5,130,35,0,14,58,361,1166,579,1448,972,168,712,0,6,138,45,20,46,91,63,81,48,0,5,83,269,459,212,0,56,412,111,62,54,52,55,49.15,25.76,-37.96,-6.4
Oregon Creek,6,39.39704,-121.082,448,14.2,21.7,32.8,25.2,2.6,7.3,15.1,9.3,8.4,14.5,24,17.2,614,382,23,200,12.5,22.8,19.4,14.7,24,4,0,1,350,872,1743,1108,861,416,18,297,2,80,567,214,64,85,92,86,6,0,0,0,117,344,561,270,0,113,539,133,62,57,51,54,47.24,9.63,-53.89,-17.53
Rainbow Pool,29,37.81878,-120.0073,833,12.3,19.3,29.9,22.4,1,5.2,13.7,7.4,6.7,12.2,21.8,14.9,428,224,22,141,8.7,20.9,16.4,13.7,37,8,0,3,240,684,1547,910,1016,584,50,417,0,44,402,129,52,75,92,82,8,1,0,0,115,324,516,255,0,154,494,146,63,57,54,55,34.37,-2.66,-46.43,-18.45
Carlon,28,37.81006,-119.8568,1320,10.6,17.1,27.3,20.6,-0.4,3.5,12.2,6.1,5.1,10.3,19.8,13.3,442,277,27,173,10.4,22.9,17.8,16.7,56,14,0,5,161,536,1363,774,1157,733,102,519,0,20,267,89,40,65,92,76,17,5,0,1,106,298,472,239,0,100,445,138,63,58,56,56,38.57,6.12,-40.7,-12.55
Buck Meadows,27,37.77722,-120.0633,830,12.7,19.8,30.6,22.9,1.3,5.6,13.9,7.7,7,12.7,22.2,15.3,432,207,22,139,10.2,22,17.5,15.5,34,7,0,2,259,720,1588,940,987,553,42,396,0,51,436,140,54,77,92,83,7,1,0,0,117,331,528,259,0,170,505,148,63,57,53,55,34.3,-5.45,-48.48,-19.54
