Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,7.7,16.7,26.5,16.8,0.6,4.7,11.1,6,4.1,10.7,18.8,11.4,452,285,68,362,-9999,-9999,-9999,-9999,71,8,0,7,110,540,1269,609,1246,685,104,629,0,7,179,26,49,78,92,79,24,2,0,4,63,258,440,162,0,22,372,12,76,62,55,66,19.52,9.85,-30.08,17.96
Canton Creek,57,43.4137,-122.7804,503,7.2,16.3,27.4,16.7,0,4.2,11.5,6,3.6,10.2,19.4,11.3,528,314,78,402,-9999,-9999,-9999,-9999,81,10,0,8,92,505,1330,610,1296,730,88,635,0,7,223,29,44,75,92,78,37,3,0,6,63,258,456,163,0,26,378,14,75,62,54,66,22.57,12.84,-32.5,21.59
Rock Creek,11,43.37876,-122.9521,295,7.5,17.7,28.3,17.3,0.4,4.8,11.5,5.8,4,11.3,19.9,11.5,573,297,72,410,-9999,-9999,-9999,-9999,75,7,0,7,106,588,1371,625,1263,642,70,619,0,12,247,30,47,79,92,78,37,1,0,6,64,275,475,171,0,40,403,16,75,60,52,64,22.99,9.08,-35.02,21.38
O'Neil Creek,9,41.80979,-123.1189,487,8.3,19.1,31.4,19.7,-1,4,12.9,5.4,3.7,11.6,22.1,12.6,393,157,41,148,-9999,-9999,-9999,-9999,82,7,0,5,103,617,1576,710,1290,619,37,548,0,16,418,47,35,74,92,76,33,1,0,2,79,308,536,206,0,152,496,84,68,54,49,57,6.23,-8.68,-48.82,-10.45
Deep Creek,8,41.66546,-123.1134,694,8.9,20,32.8,20.9,-1.2,4.6,14.3,6.4,3.8,12.3,23.5,13.6,111,51,33,62,-9999,-9999,-9999,-9999,80,6,0,4,112,682,1704,804,1277,558,23,476,0,25,532,72,34,78,92,79,10,0,0,0,83,320,556,216,39,269,524,154,66,53,49,56,-4.28,-21.63,-55.04,-21.89
Little Jameson Creek,7,39.74298,-120.704,1592,6.3,16,26.9,17.5,-4.9,1.5,10,2.9,0.7,8.7,18.4,10.2,483,194,60,130,-9999,-9999,-9999,-9999,171,15,0,10,33,394,1238,521,1557,861,123,727,0,1,165,17,13,56,91,62,110,4,0,2,56,280,475,201,0,108,414,77,60,54,51,55,7.31,-1.12,-39.03,-10.64
Oregon Creek,6,39.39704,-121.082,448,13.9,23.1,33.5,24.8,1.7,8.4,15.8,8.9,7.8,15.8,24.6,16.9,579,218,41,128,-9999,-9999,-9999,-9999,28,2,0,1,304,978,1804,1074,921,295,10,258,0,78,618,144,57,90,92,87,8,0,0,0,119,357,570,260,0,169,530,133,61,56,51,53,-2.1,-8.75,-53.59,-22.3
Rainbow Pool,29,37.81878,-120.0073,833,11.5,20.4,31.2,22.1,-0.2,6.3,14.6,7,5.7,13.3,22.9,14.6,423,130,13,93,-9999,-9999,-9999,-9999,47,3,0,2,182,766,1644,868,1109,466,20,392,0,29,460,69,42,85,92,83,13,0,0,0,113,332,536,248,9,203,524,155,62,57,53,55,1.69,-13.88,-50.53,-21.56
Carlon,28,37.81006,-119.8568,1320,9.5,18.2,28.7,20.1,-1.7,4.6,13.2,5.7,3.9,11.4,20.9,12.9,423,146,14,102,-9999,-9999,-9999,-9999,75,6,0,3,109,602,1466,729,1266,630,46,511,0,9,319,39,30,78,92,78,27,1,0,1,103,305,494,231,6,159,479,129,62,58,55,56,4.29,-9.54,-45.12,-18.24
Buck Meadows,27,37.77722,-120.0633,830,12,20.9,31.8,22.6,0.2,6.7,14.8,7.3,6.1,13.8,23.3,14.9,432,126,13,98,-9999,-9999,-9999,-9999,42,3,0,2,203,805,1681,902,1072,433,17,368,0,37,496,80,45,86,92,84,10,0,0,0,116,339,547,253,7,214,535,156,61,57,53,54,1.58,-15.3,-52.54,-22.09
