,lambda.slope.decline,lambda.mean.drought,MAT_1215,MAP_1215,PAS_1215,CMD_1215,Tave_wt_1215,Tave_sm_1215,PPT_wt_1215,PPT_sm_1215
lambda.slope.decline,NA,0.23,0.18,0.25,0.18,0.31,0.07,0.23,0.62,0.45
lambda.mean.drought,0.23,NA,0.60,0.08,0.57,0.27,0.32,0.01,0.00,0.01
MAT_1215,0.18,0.60,NA,0.01,0.00,0.00,0.00,0.69,0.37,0.00
MAP_1215,0.25,0.08,0.01,NA,0.05,0.00,0.00,0.00,0.08,0.47
PAS_1215,0.18,0.57,0.00,0.05,NA,0.06,0.00,0.91,0.08,0.01
CMD_1215,0.31,0.27,0.00,0.00,0.06,NA,0.00,0.28,0.69,0.24
Tave_wt_1215,0.07,0.32,0.00,0.00,0.00,0.00,NA,0.23,0.95,0.31
Tave_sm_1215,0.23,0.01,0.69,0.00,0.91,0.28,0.23,NA,0.00,0.42
PPT_wt_1215,0.62,0.00,0.37,0.08,0.08,0.69,0.95,0.00,NA,0.00
PPT_sm_1215,0.45,0.01,0.00,0.47,0.01,0.24,0.31,0.42,0.00,NA
