"","lambda.slope.recovery","lambda.mean.recovery","MAT_1619","MAP_1619","PAS_1619","CMD_1619","Tave_wt_1619","Tave_sm_1619","PPT_wt_1619","PPT_sm_1619"
"lambda.slope.recovery",NA,0.0210660485503809,0.133543910854255,0.151549849648053,0.746448787358566,0.739578882492367,0.133351185958438,0.951282091678968,0.161726790853459,0.932198438059044
"lambda.mean.recovery",0.0210660485503809,NA,0.816542136650824,0.319600214560046,0.391511966943848,0.540538500617377,0.743484783596938,0.396810748910891,0.312129471592092,0.621142255113583
"MAT_1619",0.133543910854255,0.816542136650824,NA,0.666253421943401,0.931575594278545,0.109853756401109,6.23515798148233e-06,0.0567327544509151,0.152552131625941,0.427577705362899
"MAP_1619",0.151549849648053,0.319600214560046,0.666253421943401,NA,0.272864035912249,0.361240338706674,0.526007025442505,0.0821250962854989,0.140970278162009,0.763111877671744
"PAS_1619",0.746448787358566,0.391511966943848,0.931575594278545,0.272864035912249,NA,0.658878849055976,0.885066606892081,0.682254843463309,0.693971168388857,0.213296032156372
"CMD_1619",0.739578882492367,0.540538500617377,0.109853756401109,0.361240338706674,0.658878849055976,NA,0.164774134618179,0.102130421870101,0.339271513002858,0.546683257870269
"Tave_wt_1619",0.133351185958438,0.743484783596938,6.23515798148233e-06,0.526007025442505,0.885066606892081,0.164774134618179,NA,0.179837489562941,0.140002384347279,0.19830692481185
"Tave_sm_1619",0.951282091678968,0.396810748910891,0.0567327544509151,0.0821250962854989,0.682254843463309,0.102130421870101,0.179837489562941,NA,0.785759197809687,0.846638705430797
"PPT_wt_1619",0.161726790853459,0.312129471592092,0.152552131625941,0.140970278162009,0.693971168388857,0.339271513002858,0.140002384347279,0.785759197809687,NA,0.472095539785795
"PPT_sm_1619",0.932198438059044,0.621142255113583,0.427577705362899,0.763111877671744,0.213296032156372,0.546683257870269,0.19830692481185,0.846638705430797,0.472095539785795,NA
