,lambda.slope.recovery,lambda.mean.recovery,MAT_1619,MAP_1619,PAS_1619,CMD_1619,Tave_wt_1619,Tave_sm_1619,PPT_wt_1619,PPT_sm_1619
lambda.slope.recovery,1.00,-0.71,-0.51,0.49,0.34,0.12,-0.42,0.29,-0.43,0.15
lambda.mean.recovery,-0.71,1.00,0.08,-0.35,0.06,0.22,-0.12,-0.15,0.51,-0.29
MAT_1619,-0.51,0.08,1.00,-0.16,-0.50,-0.54,0.84,-0.31,0.26,0.47
MAP_1619,0.49,-0.35,-0.16,1.00,-0.42,-0.32,-0.02,0.41,-0.74,0.74
PAS_1619,0.34,0.06,-0.50,-0.42,1.00,0.32,-0.69,-0.03,0.38,-0.53
CMD_1619,0.12,0.22,-0.54,-0.32,0.32,1.00,-0.38,0.34,0.04,-0.62
Tave_wt_1619,-0.42,-0.12,0.84,-0.02,-0.69,-0.38,1.00,-0.08,-0.15,0.48
Tave_sm_1619,0.29,-0.15,-0.31,0.41,-0.03,0.34,-0.08,1.00,-0.75,0.23
PPT_wt_1619,-0.43,0.51,0.26,-0.74,0.38,0.04,-0.15,-0.75,1.00,-0.48
PPT_sm_1619,0.15,-0.29,0.47,0.74,-0.53,-0.62,0.48,0.23,-0.48,1.00
