"Site","Latitude","Longitude","Elevation","Region","RegionRank","lambda.slope","lambda.mean"
"CoastForkofWilliamette",43.6517,-123.088,254,"N2",7,-0.37382342480227,1.82425295197683
"CantonCreek",43.4137,-122.7804,503,"N2",7,-0.770535434036355,0.991687425376823
"RockCreek",43.37876,-122.9521,295,"N2",7,-0.047347288169781,0.161448541503108
"O'NeilCreek",41.80979,-123.1189,487,"N1",6,0.202840927926953,1.03877757273145
"DeepCreek",41.66546,-123.1134,694,"N1",6,0.0651791715705278,1.11167941984536
"LittleJamesonCreek",39.74298,-120.704,1592,"C3",5,-0.00545888903649532,0.919232169027579
"OregonCreek",39.39704,-121.082,448,"C3",5,-0.0865140162863379,1.03720447740632
"RainbowPool",37.81878,-120.0073,833,"C2",4,-0.118712409674565,0.682184856553465
"Carlon",37.81006,-119.8568,1320,"C2",4,0.0563485170649856,0.843931416073889
"BuckMeadows",37.77722,-120.0633,830,"C2",4,-0.093220905436923,0.620227752010454
"Wawona",37.53822,-119.6514,1208,"C2",4,0.0681236599385271,0.994696438769543
"RedwoodCreek",36.68952,-118.9096,1677,"C1",3,-0.0799871338461118,0.631941821571198
"NorthForkMiddleForkTule",36.20081,-118.6509,1284,"C1",3,-0.023476256609894,0.887480833182056
"SouthForkMiddleForkTule",36.13756,-118.5741,1664,"C1",3,-0.290794144637236,1.12320529911464
"WestForkMojaveRiver",34.28425,-117.3754,1087,"S2",2,0.0239470757034448,NA
"WhitewaterCanyon",33.99329,-116.6627,696,"S2",2,-0.0621162342187999,0
"SweetwaterRiver",32.89913,-116.5865,1386,"S1",1,-0.0399603320700885,0.51541563825453
"KitchenCreek",32.75206,-116.4522,1173,"S1",1,-0.144592719002202,0
"HauserCreek",32.65822,-116.5323,788,"S1",1,-0.0230497577490365,0
