"Site","Year","SiteYear","Latitude","Longitude","Elevation","Region","RegionRank","lambda","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"Hauser Creek","2010","Hauser Creek:2010",32.65822,-116.5323,788,"S1",1,0.24,-5.47,0.73,3.85,1.15,1.13,-6.1,1.82,-1.23,0.87,0,0,1666,0,209,348194,0
"Hauser Creek","2011","Hauser Creek:2011",32.65822,-116.5323,788,"S1",1,0.14,-5.52,0.76,3.73,1.15,1.13,-7.4,1.82,-1.59,0.87,0,0,1666,0,13,21658,0
"Hauser Creek","2012","Hauser Creek:2012",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hauser Creek","2013","Hauser Creek:2013",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hauser Creek","2014","Hauser Creek:2014",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hauser Creek","2015","Hauser Creek:2015",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitchen Creek","2010","Kitchen Creek:2010",32.75206,-116.4522,1173,"S1",1,1.16,-4.54,0.82,3.03,1.28,1.13,-6.67,1.82,-1.73,0.87,1.17,1.25,2514,20,47,118158,0.000169264882614804
"Kitchen Creek","2011","Kitchen Creek:2011",32.75206,-116.4522,1173,"S1",1,1,-4.59,0.85,2.91,1.27,1.13,-7.63,1.82,-1.51,0.87,1.73,1.36,2514,8,10,25140,0.000318217979315831
"Kitchen Creek","2012","Kitchen Creek:2012",32.75206,-116.4522,1173,"S1",1,0.88,-4.21,0.8,3.23,1.21,1.13,-7.04,1.82,-1.09,0.87,0,0,2514,0,461,1158954,0
"Kitchen Creek","2013","Kitchen Creek:2013",32.75206,-116.4522,1173,"S1",1,0.85,-3.55,0.73,2.72,1.32,1.13,-7.95,1.82,-0.87,0.87,0,0,2514,0,211,530454,0
"Kitchen Creek","2014","Kitchen Creek:2014",32.75206,-116.4522,1173,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitchen Creek","2015","Kitchen Creek:2015",32.75206,-116.4522,1173,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweetwater River","2010","Sweetwater River:2010",32.89913,-116.5865,1386,"S1",1,1.2,-4.84,0.99,3.65,1.21,1.13,-7.17,1.82,-1.94,0.87,3.64,0.8,2027,10,5471,11089717,9.01736266128342e-07
"Sweetwater River","2011","Sweetwater River:2011",32.89913,-116.5865,1386,"S1",1,1.24,-4.89,1.01,3.53,1.2,1.13,-7.73,1.82,-1.72,0.87,2.77,1.4,2027,10,3574,7244498,1.38035789367324e-06
"Sweetwater River","2012","Sweetwater River:2012",32.89913,-116.5865,1386,"S1",1,1,-4.5,0.97,3.85,1.14,1.13,-7.82,1.82,-2.09,0.87,2.21,0.37,2027,2,3548,7191796,2.78094651183098e-07
"Sweetwater River","2013","Sweetwater River:2013",32.89913,-116.5865,1386,"S1",1,1.1,-3.84,0.9,3.34,1.25,1.13,-6.68,1.82,-1.59,0.87,2.77,1.1,2027,4,786,1593222,2.5106356804011e-06
"Sweetwater River","2014","Sweetwater River:2014",32.89913,-116.5865,1386,"S1",1,1.02,-4.81,0.97,3.59,1.19,1.13,-6.83,1.82,-1.88,0.87,2.37,0.6,2027,18,393,796611,2.25957211236099e-05
"Sweetwater River","2015","Sweetwater River:2015",32.89913,-116.5865,1386,"S1",1,0.81,-5.54,1.01,4.24,1.11,1.13,-7.58,1.82,-2.98,0.87,2.64,0,2027,1,6,12162,8.2223318533136e-05
"Whitewater Canyon","2010","Whitewater Canyon:2010",33.99329,-116.6627,696,"S2",2,0.86,-5.08,0.91,3.72,1.14,1.13,-3.3,1.82,-0.41,0.87,0,0,1104,1,2291,2529264,3.95371934286022e-07
"Whitewater Canyon","2011","Whitewater Canyon:2011",33.99329,-116.6627,696,"S2",2,0.92,-5.13,0.94,3.61,1.13,1.13,-4.87,1.82,-0.79,0.87,2.39,0.97,1104,7,1088,1201152,5.82773870417732e-06
"Whitewater Canyon","2012","Whitewater Canyon:2012",33.99329,-116.6627,696,"S2",2,1.11,-4.74,0.9,3.93,1.07,1.13,-6.21,1.82,-1.48,0.87,4.08,1.05,1104,5,1108,1223232,4.08753204625124e-06
"Whitewater Canyon","2013","Whitewater Canyon:2013",33.99329,-116.6627,696,"S2",2,1.1,-4.08,0.82,3.42,1.18,1.13,-5.87,1.82,-1.76,0.87,3.98,1.02,1104,4,778,858912,4.65705450616594e-06
