"SiteYear","Site","Year","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"Buck Meadows:2010","Buck Meadows","2010",-1.56088106630101,0.522753931251533,2.03983828479089,0.610586712311047,1.11008917792899,-8.43101115778282,1.84078666005448,-2.19601718944878,0.857155887096075,0.746896551724138,1.24959737358043,1956,29,28,54768,0.000529506281040023
"Buck Meadows:2011","Buck Meadows","2011",-1.93761191896172,0.522753931251533,2.36102542456414,0.610586712311047,1.11008917792899,-7.94494716888006,1.84078666005448,-1.99909337407652,0.857155887096075,2.40928571428571,1.20466697782936,1956,14,95,185820,7.53417285545151e-05
"Buck Meadows:2014","Buck Meadows","2014",-2.09547392109605,0.522753931251533,1.73518181082933,0.610586712311047,1.11008917792899,-8.16780108310481,1.84078666005448,-2.59036794887968,0.857155887096075,4.51085950651685,0,1956,1,33,64548,1.54923467806903e-05
"Buck Meadows:2015","Buck Meadows","2015",-1.86124611116503,0.522753931251533,1.61615233503,0.610586712311047,1.11008917792899,-8.99960723389069,1.84078666005448,-2.99687583366849,0.857155887096075,2.03670062094497,1.24734657845814,1956,421,2,3912,0.107617586912065
"Canton Creek:2010","Canton Creek","2010",-1.95831941757551,0.522753931251533,1.84852686236686,0.610586712311047,1.11008917792899,-10.2796611788489,1.84078666005448,-2.68664942211116,0.857155887096075,2.31875,1.48467829608206,1184,8,3,3552,0.00225225225225225
"Canton Creek:2011","Canton Creek","2011",-5.03523551683927,0.522753931251533,2.00122017736178,0.610586712311047,1.11008917792899,-10.2998065922127,1.84078666005448,-2.88299241260469,0.857155887096075,2.16375,1.47593327500198,1184,32,0,0,0.027027027027027
"Canton Creek:2012","Canton Creek","2012",-1.16944605223772,0.522753931251533,2.44789117679839,0.610586712311047,1.11008917792899,-8.55486593108505,1.84078666005448,-2.19367270915246,0.857155887096075,2.43147058823529,1.02695233831436,1184,34,14,16576,0.0020511583011583
"Canton Creek:2013","Canton Creek","2013",-1.39862318236511,0.522753931251533,2.41682069040908,0.610586712311047,1.11008917792899,-7.89331335735774,1.84078666005448,-2.03702237317196,0.857155887096075,2.114,0.617640672235888,1184,5,144,170496,2.93262012012012e-05
"Canton Creek:2014","Canton Creek","2014",-3.21799418273093,0.522753931251533,1.61470140462525,0.610586712311047,1.11008917792899,-8.47570895555141,1.84078666005448,-2.30539470346172,0.857155887096075,2.00486575661608,1.47875632295194,1184,18,126,149184,0.000120656370656371
"Canton Creek:2015","Canton Creek","2015",-1.40964424383335,0.522753931251533,1.67816075260934,0.610586712311047,1.11008917792899,-8.69180714347684,1.84078666005448,-2.48769618038673,0.857155887096075,1.30782024816186,1.01606332351814,1184,10,18,21312,0.000469219219219219
"Carlon:2010","Carlon","2010",-1.73240459521157,0.522753931251533,2.02680103774995,0.610586712311047,1.11008917792899,-8.39135337982639,1.84078666005448,-1.71544810902086,0.857155887096075,2.05153846153846,1.6525052309937,1226,26,512,627712,4.14202691680261e-05
"Carlon:2011","Carlon","2011",-3.62049280949914,0.522753931251533,0.739699300250385,0.610586712311047,1.11008917792899,-9.02041115017414,1.84078666005448,-2.60712564323888,0.857155887096075,1.92622641509434,1.61776938835676,1226,53,309,378834,0.000139902965414931
"Carlon:2014","Carlon","2014",-1.66769358054209,0.522753931251533,2.3584884394888,0.610586712311047,1.11008917792899,-7.52989853517026,1.84078666005448,-1.58705959464749,0.857155887096075,2.59259083489076,1.22205867196552,1226,35,840,1029840,3.39858618814573e-05
"Carlon:2015","Carlon","2015",-3.28110068502017,0.522753931251533,1.95597024991497,0.610586712311047,1.11008917792899,-8.57246629837087,1.84078666005448,-1.85379985680208,0.857155887096075,2.36476447788647,1.36170178882482,1226,22,696,853296,2.57823779790366e-05
"Coast Fork of Williamette:2010","Coast Fork of Williamette","2010",-0.545380498691318,0.522753931251533,1.84861651600223,0.610586712311047,1.11008917792899,-7.83182051064564,1.84078666005448,-1.56159530249054,0.857155887096075,1.48166666666667,1.01129829547184,1184,12,23,27232,0.000440658049353702
"Coast Fork of Williamette:2011","Coast Fork of Williamette","2011",-3.7752941188779,0.522753931251533,1.87812799684386,0.610586712311047,1.11008917792899,-8.89126893130498,1.84078666005448,-2.16255046775211,0.857155887096075,1.92947368421053,1.20237022253829,1184,19,1,1184,0.0160472972972973
