"SiteYear","Site","Year","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"Buck Meadows:2012","Buck Meadows","2012",-2.8229829931073,0.821779238184986,4.70655325074055,0.976596943218197,1.09812986703123,-14.8731484072306,3.4815820489337,NA,NA,0,0,NA,NA,NA,NA,NA
"Buck Meadows:2013","Buck Meadows","2013",-2.51815969964472,0.821779238184986,4.21620128047732,1.07692247749365,1.09812986703123,-14.7659749912594,3.4815820489337,NA,NA,0,0,NA,NA,NA,NA,NA
"Buck Meadows:2014","Buck Meadows","2014",-3.34565450407919,0.821779238184986,4.49460270621012,0.9981240254018,1.09812986703123,-14.659438942978,3.4815820489337,0.0296618293511409,0.882015618655416,4.51085950651685,0,1956,1,33,64548,1.54923467806903e-05
"Canton Creek:2012","Canton Creek","2012",-2.88404796334647,0.740759581651188,5.2670384476893,0.932082584635449,1.09812986703123,-16.1187311500138,3.78548641104877,-0.84928484356806,1.13970147177708,2.43147058823529,1.02695233831436,1184,34,14,16576,0.0020511583011583
"Canton Creek:2013","Canton Creek","2013",-2.5792246698839,0.740759581651188,4.77668647742607,1.0324081189109,1.09812986703123,-16.0115577340425,3.78548641104877,-1.06930665968594,1.2096054777066,2.114,0.617640672235888,1184,5,144,170496,2.93262012012012e-05
"Canton Creek:2014","Canton Creek","2014",-3.40671947431837,0.740759581651188,5.05508790315887,0.953609666819052,1.09812986703123,-15.9050216857612,3.78548641104877,-0.883338207948249,1.12757967146328,2.00486575661608,1.47875632295194,1184,18,126,149184,0.000120656370656371
"Carlon:2012","Carlon","2012",-2.77551571566263,0.830586890775762,4.81028047714965,1.06123222867799,1.09812986703123,-16.429774040478,4.06453834693058,NA,NA,0,0,NA,NA,NA,NA,NA
"Carlon:2013","Carlon","2013",-2.47069242220005,0.830586890775762,4.31992850688642,1.16155776295344,1.09812986703123,-16.3226006245068,4.06453834693058,NA,NA,0,0,NA,NA,NA,NA,NA
"Carlon:2014","Carlon","2014",-3.29818722663452,0.830586890775762,4.59832993261922,1.08275931086159,1.09812986703123,-16.2160645762254,4.06453834693058,-3.74309664638083,1.77061164249405,2.59259083489076,1.22205867196552,1226,35,840,1029840,3.39858618814573e-05
"Coast Fork of Williamette:2012","Coast Fork of Williamette","2012",-4.89628483330389,1.25650485332667,4.76203245249327,1.11335173335221,1.09812986703123,-16.5426363854777,4.00279366927362,NA,NA,1.36728260869565,1.04004976979482,1184,92,0,0,0.0777027027027027
"Coast Fork of Williamette:2013","Coast Fork of Williamette","2013",-4.59146153984131,1.25650485332667,4.27168048223004,1.21367726762766,1.09812986703123,-16.4354629695065,4.00279366927362,-2.08950201088817,1.52540074263396,1.331875,0.827874537596126,1184,16,175,207200,7.72200772200772e-05
"Coast Fork of Williamette:2014","Coast Fork of Williamette","2014",-5.41895634427578,1.25650485332667,4.55008190796284,1.13487881553581,1.09812986703123,-16.3289269212251,4.00279366927362,-2.25109645856732,1.44615341292685,2.17523148063117,0.9447971443698,1184,30,113,133792,0.000224228653432193
"Deep Creek:2012","Deep Creek","2012",-2.75731500444351,1.03848132353364,3.35459511824217,1.23753723055896,1.09812986703123,-13.6449955764849,3.08595201832606,-0.451525837159464,1.02464637261972,2.15545454545455,1.56418527297179,506,33,286,144716,0.000228032836728489
"Deep Creek:2013","Deep Creek","2013",-2.45249171098093,1.03848132353364,2.86424314797894,1.33786276483441,1.09812986703123,-13.5378221605137,3.08595201832606,0.0702696161150966,0.969431501131785,-0.0408333333333332,1.29775713114148,506,36,108,54648,0.000658761528326746
"Deep Creek:2014","Deep Creek","2014",-3.2799865154154,1.03848132353364,3.14264457371174,1.25906431274256,1.09812986703123,-13.4312861122323,3.08595201832606,0.391539443946351,0.854172043764302,0.859898722238282,1.42660402374906,506,434,73,36938,0.0117494179435811
"Kitchen Creek:2012","Kitchen Creek","2012",-5.9555705061694,0.99437910144553,4.27540979228734,1.12283733453983,1.09812986703123,-16.3659133912997,4.14894302438679,-4.08628176745652,1.95616797141541,0,0,2514,0,461,1158954,0
"Kitchen Creek:2013","Kitchen Creek","2013",-5.65074721270682,0.99437910144553,3.78505782202411,1.22316286881528,1.09812986703123,-16.2587399753285,4.14894302438679,-3.64974852984579,1.86885685500945,0,0,2514,0,211,530454,0
"Kitchen Creek:2014","Kitchen Creek","2014",-6.4782420171413,0.99437910144553,4.06345924775691,1.14436441672343,1.09812986703123,-16.1522039270472,4.14894302438679,NA,NA,0,0,NA,NA,NA,NA,NA
"Little Jameson Creek:2012","Little Jameson Creek","2012",-3.93263038292385,1.16972939483789,4.23105059276631,1.22551767394672,1.09812986703123,-15.4958744442608,3.85878291059119,-3.17971597793011,1.73578726540169,2.88166666666667,1.26290801987582,2092,6,36314,75968888,7.89797002162254e-08
"Little Jameson Creek:2013","Little Jameson Creek","2013",-3.62780708946127,1.16972939483789,3.74069862250308,1.32584320822217,1.09812986703123,-15.3887010282896,3.85878291059119,-2.38492642543537,1.63500176449021,3.38666666666667,2.0579682537234,2092,3,31820,66567440,4.50670778386551e-08
"Little Jameson Creek:2014","Little Jameson Creek","2014",-4.45530189389574,1.16972939483789,4.01910004823588,1.24704475613032,1.09812986703123,-15.2821649800082,3.85878291059119,-3.23364682599273,1.71820096991775,0,0,2092,0,15197,31792124,0
"Mill Creek:2012","Mill Creek","2012",-3.56473916112548,0.782496771192327,5.31961518553302,0.99471057376765,1.09812986703123,-16.5870590114632,4.18628606647855,-2.34700770236517,1.5716824603591,1.79479166666667,1.58518404808781,1557,48,789,1228473,3.9072897817046e-05
"Mill Creek:2013","Mill Creek","2013",-3.2599158676629,0.782496771192327,4.82926321526979,1.0950361080431,1.09812986703123,-16.479885595492,4.18628606647855,NA,NA,0,0,NA,NA,NA,NA,NA
"Mill Creek:2014","Mill Creek","2014",-4.08741067209737,0.782496771192327,5.10766464100259,1.01623765595125,1.09812986703123,-16.3733495472106,4.18628606647855,NA,NA,2.06438584851879,1.58056665248369,1557,9,0,0,0.00578034682080925
"North Fork Middle Fork Tule:2012","North Fork Middle Fork Tule","2012",-2.79950732315143,0.923454234352838,3.77735950909616,1.21876580201095,1.09812986703123,-15.8053678039707,3.979715781722,-2.22053125485911,1.49736439460687,0.61695238095238,1.17410286848621,1473,105,312,459576,0.000228471460650687
"North Fork Middle Fork Tule:2013","North Fork Middle Fork Tule","2013",-2.49468402968885,0.923454234352838,3.28700753883294,1.31909133628639,1.09812986703123,-15.6981943879994,3.979715781722,-2.76486812493306,1.58242100769071,0.916218487394958,1.03776323317503,1473,119,462,680526,0.000174864736982863
"North Fork Middle Fork Tule:2014","North Fork Middle Fork Tule","2014",-3.32217883412332,0.923454234352838,3.56540896456573,1.24029288419455,1.09812986703123,-15.5916583397181,3.979715781722,-1.00270619051127,1.21035436150669,0.971210224750868,1.43164131392281,1473,49,428,630444,7.77230015671495e-05
"O'Neil Creek:2012","O'Neil Creek","2012",-2.91324138646881,0.742385563845749,5.37835915905605,0.765632671667918,1.09812986703123,-14.2664058476635,3.0318136043363,-1.23373545809479,1.21178182712398,1.76142857142857,1.42315879380375,1017,7,306,311202,2.2493428705471e-05
"O'Neil Creek:2013","O'Neil Creek","2013",-2.60841809300624,0.742385563845749,4.88800718879282,0.865958205943366,1.09812986703123,-14.1592324316922,3.0318136043363,-0.994572704307878,1.17658299129369,3.294,0.773939417669253,1017,10,6,6102,0.00163880694854146
"O'Neil Creek:2014","O'Neil Creek","2014",-3.43591289744071,0.742385563845749,5.16640861452562,0.787159753851521,1.09812986703123,-14.0526963834109,3.0318136043363,-0.144607398409185,0.966127055247663,1.56840823255598,1.30898117784713,1017,178,54,54918,0.00324119596489311
"Oregon Creek:2012","Oregon Creek","2012",-2.7107606851506,0.96192871316413,4.23726910332254,1.08480830742942,1.09812986703123,-15.484538606892,3.6859722797347,-0.756000979152775,1.15119148000959,1.37032967032967,1.21446783091695,1691,91,141,238431,0.000381661780557058
"Oregon Creek:2013","Oregon Creek","2013",-2.40593739168803,0.96192871316413,3.74691713305931,1.18513384170486,1.09812986703123,-15.3773651909208,3.6859722797347,-2.76872636639452,1.69064275445908,0.449493670886074,1.28508059037919,1691,316,969,1638579,0.000192850024319853
"Oregon Creek:2014","Oregon Creek","2014",-3.2334321961225,0.96192871316413,4.02531855879211,1.10633538961302,1.09812986703123,-15.2708291426394,3.6859722797347,-2.41407174950799,1.54706521195726,2.85452037919345,0.995059028105128,1691,57,1161,1963251,2.90334755973638e-05
"Rainbow Pool:2012","Rainbow Pool","2012",-1.90657802277651,0.49040544430304,3.68534411870368,1.30730472973404,1.09812986703123,-16.1770256509031,4.30707488263033,NA,NA,0,0,NA,NA,NA,NA,NA
"Rainbow Pool:2013","Rainbow Pool","2013",-1.60175472931394,0.49040544430304,3.19499214844045,1.40763026400949,1.09812986703123,-16.0698522349318,4.30707488263033,NA,NA,0,0,NA,NA,NA,NA,NA
"Rainbow Pool:2014","Rainbow Pool","2014",-2.42924953374841,0.49040544430304,3.47339357417324,1.32883181191764,1.09812986703123,-15.9633161866505,4.30707488263033,-2.19347797014488,1.5579301788331,0.634867621484505,1.34112641322705,2144,49,573,1228512,3.98856502826183e-05
"Redwood Creek:2012","Redwood Creek","2012",-3.49422743485557,0.86791857495082,3.51250587343098,1.22591105895624,1.09812986703123,-16.3657510952935,3.93332239352936,-1.16785316023271,1.27038030485495,1.35074074074074,1.35678150220438,1289,54,1308,1686012,3.20282417918734e-05
"Redwood Creek:2013","Redwood Creek","2013",-3.18940414139299,0.86791857495082,3.02215390316775,1.32623659323168,1.09812986703123,-16.2585776793223,3.93332239352936,-1.49563004008833,1.30182215335865,-0.106543909348439,0.920448543648146,1289,353,1493,1924477,0.000183426458201371
"Redwood Creek:2014","Redwood Creek","2014",-4.01689894582746,0.86791857495082,3.30055532890055,1.24743814113984,1.09812986703123,-16.1520416310409,3.93332239352936,-0.82114750169749,1.04869835030822,1.93480284865704,1.16207340732133,1289,98,265,341585,0.000286897843874877
"Rock Creek:2012","Rock Creek","2012",-5.8217852561508,1.01463533074538,3.17733301623602,1.15898516522912,1.09812986703123,-15.9071474780546,3.77767296211686,NA,NA,0,0,NA,NA,NA,NA,NA
"Rock Creek:2013","Rock Creek","2013",-5.51696196268822,1.01463533074538,2.68698104597279,1.25931069950457,1.09812986703123,-15.7999740620833,3.77767296211686,NA,NA,0,0,NA,NA,NA,NA,NA
"Rock Creek:2014","Rock Creek","2014",-6.34445676712269,1.01463533074538,2.96538247170559,1.18051224741273,1.09812986703123,-15.693438013802,3.77767296211686,-2.87830029558692,1.57295294431652,2.71453943755259,1.16533057442526,1122,239,2432,2728704,8.75873674828783e-05
"South Fork Middle Fork Tule:2012","South Fork Middle Fork Tule","2012",-2.50242519869236,0.900286081088244,4.47419077434614,1.06958357342838,1.09812986703123,-16.7940461119173,4.03323743612975,-0.60065976014638,1.06288957237409,1.54115702479339,1.07958571535771,1473,121,215,316695,0.000382071077850929
"South Fork Middle Fork Tule:2013","South Fork Middle Fork Tule","2013",-2.19760190522978,0.900286081088244,3.98383880408291,1.16990910770383,1.09812986703123,-16.6868726959461,4.03323743612975,-1.81499689254043,1.34935778551495,0.407624309392263,1.28187271776872,1473,362,543,799839,0.000452591083955646
"South Fork Middle Fork Tule:2014","South Fork Middle Fork Tule","2014",-3.02509670966425,0.900286081088244,4.26224022981571,1.09111065561199,1.09812986703123,-16.5803366476648,4.03323743612975,-1.20548039115454,1.18113793161134,1.5314341125548,1.44459215973749,1473,29,427,628971,4.61070542203059e-05
"Sweetwater River:2012","Sweetwater River","2012",-4.5597342766168,1.06558238230383,4.06699165474442,1.08858524485415,1.09812986703123,-15.5772676965577,3.93102885171174,-2.42800681124098,1.4811306138983,2.215,0.37476659402887,2027,2,3548,7191796,2.78094651183098e-07
"Sweetwater River:2013","Sweetwater River","2013",-4.25491098315422,1.06558238230383,3.57663968448119,1.1889107791296,1.09812986703123,-15.4700942805864,3.93102885171174,-2.01882080691003,1.47613644614823,2.77,1.10308657865101,2027,4,786,1593222,2.5106356804011e-06
"Sweetwater River:2014","Sweetwater River","2014",-5.08240578758869,1.06558238230383,3.85504111021399,1.11011232703776,1.09812986703123,-15.3635582323051,3.93102885171174,-0.929837356900488,1.19387930477483,2.36764714542364,0.604312207207132,2027,18,393,796611,2.25957211236099e-05
"Wawona:2012","Wawona","2012",-3.57245536462081,1.02407908958186,4.40280504792514,1.15643154716154,1.09812986703123,-16.5578666087844,4.04735856020797,-1.36777669167232,1.32983742521067,0.373146417445483,1.08638437333199,1721,321,728,1252888,0.000256208056905326
"Wawona:2013","Wawona","2013",-3.26763207115823,1.02407908958186,3.91245307766191,1.25675708143699,1.09812986703123,-16.4506931928132,4.04735856020797,-4.06992492026858,1.8335847204884,0.16680769230769,1.21692163430242,1721,260,4523,7784083,3.34014937918827e-05
"Wawona:2014","Wawona","2014",-4.0951268755927,1.02407908958186,4.19085450339471,1.17795862934514,1.09812986703123,-16.3441571445318,4.04735856020797,-3.16315030983692,1.67822845341392,2.44157789522569,1.54411141634024,1721,47,3535,6083735,7.72551730146037e-06
"West Fork Mojave River:2012","West Fork Mojave River","2012",-4.50444700851162,0.833686680688535,4.6846407367013,1.00656915733815,1.09812986703123,-14.831878829332,3.49238243993224,-0.107360719766723,0.985666809567223,4.14833333333333,0.926745200509108,1675,6,126,211050,2.84292821606254e-05
"West Fork Mojave River:2013","West Fork Mojave River","2013",-4.19962371504904,0.833686680688535,4.19428876643808,1.1068946916136,1.09812986703123,-14.7247054133607,3.49238243993224,0.665924852942834,0.734966230024836,0,0,1675,0,11,18425,0
