Site,Old_Site,V1,V2,V3,V4,N_MISS,F_MISS,PC1,PC2,PC3,PC4,PC5,PC6,Group,Pop,Paper_ID,Latitude,Longitude,lon.utm,lat.utm
ArroyoSequit,Arroyo Sequit,0.97809775,0.02188225,1e-5,1e-5,4559.25,0.31564975,0.02553671545083473,-0.04444658544190429,-0.0014658160429120537,0.013002988116990761,-0.0019786409287644077,0.06895359763709198,,ArroyoSequit,18,34.06511,-118.93279,-13239537.621423338,4037548.062586955
BakerCreek,Baker Creek,0.22585,0.0885136,0.6237678,0.061868799999999995,4969.6,0.3440598,0.01633162297615889,0.011689739503098068,-0.02619524399586394,-0.0130127232823323,-0.017320479753628513,0.0016651299497417405,,BakerCreek,23,37.15761,-118.3334,-13172813.831836758,4461098.417401504
BearCreek ,Bear Creek ,1e-5,0.2597586,0.006721199999999999,0.7335102,5887.8,0.40762960000000004,NA,NA,NA,NA,NA,NA,,BearCreek ,NA,NA,NA,NA,NA
BuckMeadows,Buck Meadows,1e-5,0.1528695,0.042468000000000006,0.8046525,3650,0.2527,0.0028060705863112356,0.0030997074280758076,-0.0069499169452642215,-0.009780351991461527,0.031188301476048508,0.015164905576485508,,BuckMeadows,27,37.7769,-120.063,-13365352.023112804,4547957.028671735
CampCreek2,Camp Creek 2,1e-5,0.639797875,0.351646625,0.008545375,5604.625,0.388024625,0.019923908127816425,0.02015394074703359,-0.015451218098367797,-0.052977187976326126,0.01723472487402064,-0.051060052551292506,,CampCreek2,34,38.67988,-120.41679,-13404735.745760558,4675920.31181006
CarberryCreek,Carberry Creek,1e-5,0.2304868,0.021106800000000002,0.7483964,4473.8,0.3097342,-0.02146828045904135,0.010495344079042557,-0.005120367935627509,0.0124582580143291,0.02109088113519133,-0.0023192656246596014,,CarberryCreek,48,42.05383333,-123.1629,-13710431.312622871,5169046.829944751
Carlon,Carlon,1e-5,1e-5,1e-5,0.99997,2924,0.202437,-0.003954461967021992,-0.0029626820210509447,-0.002386843049997903,-0.004729595831986825,0.013891130252203353,0.007276779796587319,,Carlon,28,37.81006667,-119.8568,-13342397.944111234,4552629.240065367
ChariotCanyon,Chariot Canyon,0.9999686666666667,1e-5,1.1333333333333334e-5,1e-5,5768.833333333333,0.3993933333333333,0.02683536116420077,-0.0712191196705568,0.007664658245973971,0.03008102746584495,-0.026932833766105425,-0.011898022790528408,,ChariotCanyon,16,33.03596,-116.53623,-12972753.782567812,3900078.025237567
CherokeeCreek,Cherokee Creek,0.23496825000000002,0.657925375,0.0816465,0.025459750000000003,4600.375,0.318497375,0.0011082496894090714,0.005703271410272743,-0.014590051295382146,-0.03308964520192394,-0.02366800725931109,0.01394807917157516,,CherokeeCreek,39,39.55384,-120.98785,-13468305.854172964,4801317.77242272
CoastForkWillamette,Coast Fork Willamette,0.012373142857142855,0.09431771428571428,0.10444028571428571,0.7888688571428571,4838.857142857143,0.33500814285714287,0.007800738393965019,0.01111717752101902,0.004553481311579356,-0.002825137312038359,0.013351221229061017,-8.000186984598985e-4,,CoastForkWillamette,55,43.66,-123.0799667,-13701199.219897069,5412976.277894227
CottonwoodCreek,Cottonwood Creek,0.99997,1e-5,1e-5,1e-5,4857.1,0.3362711,0.01379563008624934,-0.03857789077078323,0.0071071660248187615,0.00693572779955989,-0.0017286543314717197,0.01668575691680711,,CottonwoodCreek,13,32.60831,-116.70098,-12991093.668676004,3843428.330203832
CraneCreek,Crane Creek,1e-5,0.0784991,0.9119894,0.0095015,3564.5,0.2467807,0.03791215899689153,0.0231941332865835,0.02563614001876752,0.010701883413396757,0.010837598423028614,0.01106722016630586,,CraneCreek,25,37.70377,-119.75363,-13330913.11224609,4537662.555560861
CreektoRubicon,Creek to Rubicon,1e-5,0.759158,0.22294949999999997,0.017882500000000003,3614,0.2502075,0.0021375977961915274,0.014086239253303667,-0.009875763868214298,-0.03974625800937052,-0.019440661805202174,-0.01025371824390938,,CreektoRubicon,36,38.92881,-120.49947,-13413939.641259344,4711479.339925054
DeepCreek,Deep Creek,1e-5,0.07220663157894737,0.0015915263157894731,0.9261918947368422,3980.7368421052633,0.2755978947368421,-0.10869001362487246,0.0196211127408705,0.03773390996617827,0.056017591191765075,-0.005659017286129005,-0.025817699099553365,,DeepCreek,8,41.66546,-123.11341,-13704922.111023514,5110997.959899085
DeerCreek,Deer Creek,0.0030488249999999994,0.056414725,0.028196975000000003,0.91233945,4339.175,0.300413675,-0.016941038214984338,0.006194939853373462,8.738134685255018e-4,-0.003793514622179237,0.016324433495017648,0.020456505321772418,,DeerCreek,10,42.27411,-123.63617,-13763115.488030607,5202128.641614892
DeerFlatCreek,Deer Flat Creek,1e-5,0.6344055,0.142179,0.2234055,5721.5,0.396116,-8.756916742785129e-4,-0.003208274545408077,-0.015636515666777283,-0.06542557670492657,-3.8432879222519145e-4,4.689454196880379e-4,,DeerFlatCreek,30,37.89761,-121.94553,-13574914.304115867,4564971.620243925
DuncanCreek,Duncan Creek,1e-5,0.9172855,0.0826945,1e-5,4996.25,0.345904875,-0.0025373785337690063,-0.002879137419805268,-0.0070662690851162,-0.03368027936966737,-0.017833470458697397,-0.002689463686294076,,DuncanCreek,37,39.12205,-120.49242,-13413154.83884925,4739169.297052241
FiddleCreek,Fiddle Creek,1e-5,0.960788,0.021913500000000002,0.0172885,5829,0.40355850000000004,0.009936749375072822,0.003704273417363551,-0.01852945690725606,-0.027458453719274932,0.016127763560750633,-0.016964491665360914,,FiddleCreek,38,39.5204,-120.99815,-13469452.444928134,4796490.92544123
FivemileCreek,Fivemile Creek,1e-5,0.313668,0.669737,0.016585,5750,0.398089,0.009701161424004399,0.0011558545716936742,0.01608682176671138,-0.015929919479444433,0.027704370622999797,0.014879287170789903,,FivemileCreek,NA,NA,NA,NA,NA
HauserCreek,Hauser Creek,0.99997,1e-5,1e-5,1e-5,5610,0.38839671428571426,0.008672696342898094,-0.040205047221298536,0.003705689922630732,-3.285452599916961e-4,-0.011262699356168613,0.015537042478884966,,HauserCreek,14,32.65822,-116.53235,-12972321.862943534,3850025.760216604
HoneyCreek,Honey Creek,1e-5,1e-5,1e-5,0.99997,4245,0.29389350000000003,-0.013513826127337758,-0.002970605379246961,0.002062856776425377,0.0023341662161587002,0.024746103035324228,0.019314417048166874,,HoneyCreek,52,43.30581667,-122.95505,-13687293.556461493,5358636.713547037
KitchenCreek,Kitchen Creek,0.9999692857142858,1e-5,1.0714285714285716e-5,1e-5,5346,0.370119,0.01589630010198751,-0.07383708552399486,0.01666664829163646,0.015404764165108695,-0.014707716069999287,-0.005163467122878749,,KitchenCreek,15,32.75206,-116.45221,-12963400.71895136,3862440.128604883
LittleJameson,Little Jameson,0.023264883720930215,0.9705292558139536,0.006195860465116279,1e-5,4468.558139534884,0.3093712790697674,-0.015854442860946526,0.004533664143482751,-0.008641372106858027,-0.030910262328912256,-0.05703565551276875,-0.0021615529159918464,,LittleJameson,NA,NA,NA,NA,NA
LittleNorthForkMiddleForkFeather,Little North Fork Middle Fork Feather,0.0854032,0.5744612,0.20082840000000002,0.1393072,5167.4,0.3577542,-0.008103907685312429,0.017608729685225824,-0.00818922883313927,-0.005149851288900605,-0.025121623839317254,-0.0015506969428844464,,LittleNorthForkMiddleForkFeather,40,39.71209,-121.27485,-13500254.548030633,4824191.765311057
MillCreek,Mill Creek,0.9999697241379311,1e-5,1.0275862068965518e-5,1e-5,4468.3448275862065,0.30935644827586206,0.011036437102950785,-0.023647148694182937,-0.003446590332325553,-0.005547057565900407,0.007517311935338371,0.009104364415359386,,MillCreek,12,34.07808,-116.87558,-13010530.05176851,4039291.0871678493
NFMFTule,NFMF Tule,1.006060606060606e-5,0.03785706060606061,0.9613612727272728,7.716060606060611e-4,4345.242424242424,0.300833696969697,0.025971083351043898,0.023428222450044844,-0.021594322610604233,0.01748242810511169,0.01828040966716102,-0.00550670262221766,,NFMFTule,3,36.20081,-118.65092,-13208159.996553438,4328287.814689514
NFMFTule,North Fork Middle Fork Tule,1e-5,0.23004449999999999,0.5199455,0.25,5541.75,0.3836715,-0.022893365096241944,0.010025183362834797,0.007389446733595993,0.017923779611505333,0.007575791083587793,-0.03257915435862556,,NFMFTule,NA,NA,NA,NA,NA
NFStanislaus,NF Stanislaus,1e-5,0.5571945,0.4281745,0.014621100000000001,5288.2,0.3661174,0.012814593386883616,0.010021460913254641,-0.007449443141267392,-0.02608957960996403,0.022615168761219544,-0.04069651001099718,,NFStanislaus,33,38.3872,-120.21049,-13381770.534809906,4634269.516097544
NicasioCreek,Nicasio Creek,0.021141399999999998,0.2125228,0.3236312,0.4427042,4450.6,0.3081278,0.0057568176096541935,-0.004778245338395295,-0.01132171361422079,-0.008039696461434683,0.019727876892898365,0.017630642781413436,,NicasioCreek,32,38.0695,-122.76317,-13665933.57256808,4589248.489577329
NorthFeatherChipsCreek,North Feather (Chip's Creek),1e-5,0.9726173333333333,1e-5,0.027362666666666667,4698.166666666667,0.3252678333333333,5.326042654869752e-4,0.010238599454995025,4.2948694415428e-4,-0.011866899820741683,0.008161221009205636,-0.029144444414741226,,NorthFeatherChipsCreek,42,39.99982,-121.26988,-13499701.29016139,4865916.122428201
NorthForkSilverCreek,North Fork Silver Creek,1e-5,0.010223099999999999,1.29e-5,0.989754,3274.2,0.2266823,-0.012927102788028505,-8.201789512385909e-4,0.005251373768679239,0.004137011343295593,0.029230683911226733,0.03162777794650135,,NorthForkSilverCreek,49,42.53529,-123.73016,-13773578.406970266,5241503.629148044
NorthForkUmpqua,"Narrows Co. Park, North Fork Umpqua",1e-5,1e-5,1e-5,0.99997,3953,0.2736775,-4.947472591894256e-4,0.0010532648377776356,-0.004941768403682679,-0.0033548226699047145,0.01764283841907127,0.0039032143895434894,,NorthForkUmpqua,NA,NA,NA,NA,NA
NorthForkseep,North Fork (seep),1e-5,1e-5,0.74998,0.25,4518.25,0.3128115,0.003974894952459861,0.016723023614630808,-0.00568177937591303,-0.0027399638051442965,0.008582255962790226,-0.01584903995271418,,NorthForkseep,NA,NA,NA,NA,NA
ONeilCreek,O'Neil Creek,0.02182118421052631,0.040620815789473685,0.0018964473684210525,0.9356615789473685,4574.1578947368425,0.3166822105263158,-0.05487491433387406,0.004199000406618,0.016381153098724628,0.02743275638300978,0.016393084882118856,-0.0016844364125218755,,ONeilCreek,9,41.80979,-123.11887,-13705529.915443247,5132529.35598225
OregonCreek,Oregon Creek,1e-5,0.9388714285714286,0.01881785714285714,0.04230085714285715,4354.9047619047615,0.30150266666666664,-0.004225242399307087,0.012395034632223474,-0.011912260799568595,-0.03922382604567725,-0.03671315212872203,-0.0041116768190924795,,OregonCreek,6,39.39442,-121.08302,-13478900.13011176,4778327.362242725
ParadiseCreek,Paradise Creek,1e-5,1e-5,0.99997,1e-5,5541.2,0.3836336,0.03693771444170241,0.04077494109647917,-0.03588627853831712,0.04278099384357345,0.014652643270413353,-0.016836052646318368,,ParadiseCreek,21,36.51776,-118.75877,-13220165.803635493,4372100.228358289
RainbowPool,Rainbow Pool,1e-5,0.255228,0.744752,1e-5,4486.333333333333,0.31060166666666666,0.016780650790120817,0.019772073727976115,-0.008954251293657813,0.00644030749177976,-0.0017371200531687305,-0.004366848887063113,,RainbowPool,29,37.8188,-120.0074333,-13359166.366363743,4553859.859209778
Redwoods,Redwood Creek,1e-5,0.028267999999999998,0.5714035,0.40031825000000004,4844,0.3353645,0.014186825783163328,0.025557307993676958,-0.019599104538830417,0.020600536146200384,0.010574417638024153,-0.008669698134427825,,Redwoods,NA,NA,NA,NA,NA
Redwoods,Redwoods,0.0714357142857143,0.010035,0.8420821428571429,0.07644714285714285,4160.571428571428,0.28804842857142854,0.054981770795984,0.045544576954277965,-0.05290721355116742,0.0925467536493735,-0.04069999564467477,-0.008130354583191205,,Redwoods,4,36.69096,-118.90961,-13236957.23562675,4396117.693827143
RockCreek,Rock Creek,0.0785420882352941,0.03542032352941175,0.03519658823529411,0.8508410000000001,3583.294117647059,0.24808182647058824,-0.004177602384187797,-0.0024307414695481917,-0.006265837893848165,-0.0011813785031179458,0.026166928644015063,0.02625215481739635,,RockCreek,11,43.37876,-122.95207,-13686961.824378928,5369801.832867412
SalmonRiver2,Salmon River 2 (Nordheimer Creek),1e-5,0.06896,1e-5,0.93102,4414,0.305594,-0.003190646166022672,-0.0024753786559099543,-0.0024383403736357124,-0.005427331316111703,0.013939027570838751,0.007803131317332041,,SalmonRiver2,NA,NA,NA,NA,NA
SalmonRiver3,Salmon River 2 (Nordheimer Creek),1e-5,0.277297,1e-5,0.722683,3358,0.232484,-0.05970720368168569,0.005742888075327053,0.005346985454884632,-0.009793934651273989,-0.037093699272617374,0.019107868335483415,,SalmonRiver3,NA,NA,NA,NA,NA
SalmonRiver4,Salmon River 2 (Nordheimer Creek),1e-5,0.121885,1e-5,0.878095,4657,0.322418,-0.014997020134702561,0.013580255750688833,0.004343991662971741,-0.010628098549839766,-0.0224184919620355,0.05233166528029726,,SalmonRiver4,NA,NA,NA,NA,NA
SalmonRiver5,Salmon River 2 (Nordheimer Creek),1e-5,0.347723,0.652257,1e-5,4575,0.316741,0.013448635819664968,0.013729291848492855,-0.00911819911285863,-0.002315618133611498,0.027401458838314557,0.008581668890619764,,SalmonRiver5,NA,NA,NA,NA,NA
SalmonRiver6,Salmon River 2 (Nordheimer Creek),1e-5,1e-5,1e-5,0.99997,3321,0.229922,-0.023533566921913968,0.014511274410888429,-0.008211229039144088,-5.802209355298588e-4,0.017912165058404764,0.01883622775857153,,SalmonRiver6,NA,NA,NA,NA,NA
SalmonRiver7,Salmon River 2 (Nordheimer Creek),1e-5,0.390434,0.090755,0.518801,4846,0.335503,-0.0033989762335227603,-0.0062619636929665745,-0.001740003523058858,-0.006063408520259804,0.009739666873280955,0.00884207320676922,,SalmonRiver7,NA,NA,NA,NA,NA
SalmonRiver8,Salmon River 2 (Nordheimer Creek),1e-5,0.094154,1e-5,0.905826,4892,0.338687,-0.010241890367282406,-0.007037313282695031,-0.013781683851552961,-0.05295099889011144,-0.030749958304452107,-0.03287932859479324,,SalmonRiver8,NA,NA,NA,NA,NA
SalmonRiver9,Salmon River 2 (Nordheimer Creek),1e-5,0.058256,1e-5,0.941724,3036,0.210191,-0.023809120906156896,0.020693870077183193,-0.0015042384476407619,-0.021162390360531736,-0.03250337705517384,-0.01367897940007634,,SalmonRiver9,NA,NA,NA,NA,NA
ShastaCostaCreek,Shasta Costa Creek,1e-5,0.07843633333333333,1e-5,0.9215436666666666,5786.666666666667,0.400628,-0.007994074203286908,0.010930229820440989,-0.001274177317926271,-0.003795301119279098,0.016324668352240203,0.008200090153107865,,ShastaCostaCreek,50,42.57281,-124.04742,-13808895.62861934,5247173.575457979
SlateCreek,Slate Creek,1.075e-5,0.1317495,1e-5,0.86822975,3898.75,0.269922,-0.020612019040244726,0.003114268828638949,-0.0011535790897363601,0.002250926828467959,0.0062119476954012025,0.028103477833750036,,SlateCreek,45,41.25024,-123.64343,-13763923.667533765,5049322.36975509
SmithRiver,Smith River,1e-5,0.07266325,0.1535775,0.77374925,5369,0.37171125,0.0363386034457815,0.03433247500963646,0.09306447668915917,-0.014872689122020256,0.010992135033790335,0.030271336759590275,,SmithRiver,47,41.87876,-123.82774,-13784440.962881874,5142835.545695521
SouthFork,South Fork,1e-5,0.231949,0.013201250000000001,0.75484,4913.75,0.340193,-0.025980774854989685,0.004889471027569195,0.0050280375939848266,-9.620734902318774e-4,-0.008080737520745581,0.011617062916081515,,SouthFork,41,39.74001,-123.63228,-13762682.45521142,4828232.857062781
SusanCreek,Susan Creek,0.203577,1e-5,1e-5,0.796403,5736,0.39712,0.001691229087771292,-0.014353103293237399,-0.003431271711053058,-0.005027842182738525,0.019677003004128363,0.016603318341982552,,SusanCreek,54,43.4137,-122.78043,-13667854.946979169,5375154.704827988
Sweetwater,Sweetwater,0.9347922258064516,0.01770274193548387,0.04714167741935484,3.6338709677419354e-4,4762.193548387097,0.32970045161290323,0.02305327367434189,-0.07702901776749417,0.01595096261619281,0.015919577145664297,-0.019900510671839785,-0.0045777780708917,,Sweetwater,1,32.89928,-116.5849,-12978171.702184722,3881942.6862018253
Sweetwater,Sweetwater River,1e-5,1e-5,0.99997,1e-5,6099,0.422251,0.01625636652922168,0.020884387990415913,0.014514090965442112,0.001430763344189085,0.01068790715393516,-0.00815155316510228,,Sweetwater,NA,NA,NA,NA,NA
TenayaCreekYosemite,Tenaya Creek - Yosemite,1e-5,0.108443,0.8824185,0.0091285,5070,0.35101075000000004,0.1493150416151004,0.1478529091725584,0.33459029033349375,-0.004667211407983737,-0.05602161814747589,0.036860101698310194,,TenayaCreekYosemite,26,37.743,-119.562,-13309580.958225373,4543183.678252813
TribtoWForkMojaveRiver,Trib to W Fork Mojave River,0.9242266666666666,0.009361333333333333,0.066402,1e-5,6092.333333333333,0.42179,0.00919855875189666,-0.02789638208539033,-0.002133514417384866,0.003951481839812653,0.005001108904291657,0.014468593158929958,,TribtoWForkMojaveRiver,19,34.28497,-117.37862,-13066528.208417155,4067131.021521155
Trinity,Trinity,1e-5,0.31508749999999996,0.011335,0.6735675,5019,0.34748,-0.03192340478247999,0.01850648345292833,-0.008489320035147812,-0.031551687825931554,-0.10863198238750743,0.047483176500258996,,Trinity,44,40.65827,-122.91334,-13682650.420500506,4962066.487661601
UnknownCreekseepfeedingChiquitoCreek,Unknown Creek (seep feeding Chiquito Creek),1e-5,0.013708624999999999,0.9862713750000001,1e-5,5517.5,0.38199262500000003,0.03731766166218952,0.027591579160173244,-0.01833724353126541,0.018410205593026384,0.01913714627068229,-0.021332094059341982,,UnknownCreekseepfeedingChiquitoCreek,NA,NA,NA,NA,NA
WFMojave,WF Mojave,0.9225263684210526,0.0010557368421052636,0.04590594736842105,0.030511947368421055,4470.315789473684,0.3094928947368421,0.014416747043658014,-0.02664692505359885,-0.006346414108778945,-0.00831444457977266,0.010699840615885789,0.02084283433700321,,WFMojave,NA,NA,NA,NA,NA
WFMojave,West Fork Mojave River,0.392798,1e-5,1e-5,0.607182,5414,0.374827,-0.005040360318994338,0.010498704391482953,-0.024306969687701963,-0.01070398324816,0.008914415104519938,-0.01313127872557082,,WFMojave,2,34.28425,-117.37539,-13066168.646461893,4067034.016898897
Wawona,Wawona,0.03383925925925925,0.06380422222222222,0.8178411111111111,0.08451537037037037,5369.222222222223,0.3717268148148148,0.02261596856619769,0.013733632004297325,-0.005427114085249892,-0.003129386804471281,0.03634783486407559,-0.018844306744317387,,Wawona,5,37.539,-119.654,-13319822.351378355,4514505.113838186
WhitewaterCanyon,Whitewater Canyon,0.866652875,0.120373125,0.012964,1e-5,5648.5,0.391062125,0.015262094427072498,-0.01619362270527842,-0.009236634078014753,-0.008906573567708484,0.006792276650792393,-0.004852967865802047,,WhitewaterCanyon,17,33.99329,-116.66267,-12986829.018983714,4027901.0726562585
