Site,pi_snp_set,pi_all_snps
1,0.2979604674267101,0.24482679118619205
2,0.256532842019544,0.2263302012767523
3,0.321151013029316,0.16195011515517616
4,0.3348535846905539,0.16561302970747685
5,0.2881124006514658,0.1838340156637377
6,0.3383850732899023,0.13872662048219025
7,0.2576681807817589,0.16182890895381138
8,0.23446945439739417,0.1200245312132376
9,0.309978519543974,0.1483742668636126
10,0.28604488762214986,0.13715965191311838
11,0.3280473061889251,0.19320407816024185
12,0.16764958957654738,0.13420152172422575
13,0.2066781638436481,0.17838103805827896
14,0.20491171172638417,0.1762539377807964
15,0.20514317100977209,0.17396248071372777
16,0.22296588599348546,0.18014040656748787
17,0.22031677850162862,0.1934340685826515
18,0.21407895439739405,0.1313838091687115
19,0.1652512198697068,0.1602398542631318
20,0.1976113338762217,0.13766138644398238
21,0.2592111433224756,0.12225936189555894
22,0.31904370358306194,0.1580254442084019
23,0.30794096742671007,0.17681991121833499
24,0.2803531416938111,0.12760473461325933
25,0.3214298127035831,0.15215534688144483
26,0.27768718729641684,0.12951058208698604
27,0.2934311009771988,0.13438924647370526
28,0.2573289902280129,0.07462476184658719
29,0.2716960293159609,0.1308658278487427
30,0.3284474495114009,0.14951131403068796
31,0.19381107491856644,0.12043370023706336
32,0.2872354120521172,0.13362745027142478
33,0.3070975374592834,0.14503985975865044
34,0.32167840879478826,0.13465409525029398
35,0.27903084527687294,0.12417700292246067
36,0.32911799348534204,0.13436221418030236
37,0.3217041254071661,0.12329925406208922
38,0.3203040928338761,0.12638604437478215
39,0.3849819755700326,0.22243674014801437
40,0.3465799299674268,0.19049843879411868
41,0.2591902296416938,0.11870426066204567
42,0.20828905211726387,0.0797240680500217
43,0.26409707003257327,0.10496821820439942
44,0.22475574918566768,0.08966885013986245
45,0.3534782687296417,0.14770726704776452
46,0.34653899022801304,0.15523138354256077
47,0.2980095423452769,0.13151137972325297
48,0.2933563811074919,0.11920463748119167
49,0.27135264820846905,0.12170941357596964
50,0.20249715146579803,0.08321293409001852
51,0.1286644951140064,0.0500418000304218
52,0.1948968762214982,0.06743329743655535
53,0.2292072491856678,0.09543393402922176
54,0.29478827361563525,0.2118132496128469
55,0.29727414169381106,0.15245292744739078
