win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
6419,22,3,6.447434377866836,0.0013356291937811,1.6234863420283577e-7,CE10_chr2,64195000
6430,48,11,9.553466041459066,1.60773433426018e-12,7.93499599360814e-10,CE10_chr2,64305000
6452,89,13,11.642419056961025,6.9285255417166505e-12,6.305290733976676e-9,CE10_chr2,64525000
6459,164,29,15.494294483258166,3.7271533746707485e-27,3.4987124308827327e-11,CE10_chr2,64595000
6461,78,17,12.498108319013388,3.5178252387383414e-18,1.3670620191419404e-11,CE10_chr2,64615000
6467,69,12,10.41103664975476,5.200262771478576e-12,9.729657413082292e-9,CE10_chr2,64675000
6472,65,9,10.240656449684948,1.9292747599488248e-8,7.069395291381397e-9,CE10_chr2,64725000
6475,30,4,7.315200819392072,2.2259789863339e-4,5.0697177678138416e-8,CE10_chr2,64755000
6494,60,7,8.939589225739695,2.4282267364843088e-6,3.540550854719271e-7,CE10_chr2,64945000
6495,32,4,6.932867854043729,2.8747364479569e-4,6.096040203740216e-7,CE10_chr2,64955000
10850,20,2,6.041816097835984,0.0168593376356518,5.571423387085161e-7,CE10_chr3,108505000
10852,112,17,11.795160394045157,2.184447844870061e-15,1.218703842287283e-7,CE10_chr3,108525000
10853,170,20,13.0944081405481,1.245751336871907e-15,1.3039230428724125e-7,CE10_chr3,108535000
14888,336,3,7.755041672702155,0.6538207683368615,2.1072477751626906e-7,CE10_chr3,148885000
15850,187,9,12.493432943982096,1.2858763281824e-4,9.124651242364834e-7,CE10_chr4,158505000
20351,73,7,9.659218285834912,9.147353663453431e-6,3.925893671263836e-7,CE10_chr5,203515000
24219,391,1,3.395514729870262,0.9803500663786135,1.7146351005692395e-9,CE10_chr5,242195000
30336,96,25,14.052717995438613,3.786958102056834e-28,1.422306716847288e-12,CE10_chr6,303365000
30718,120,26,12.817807628215911,6.1465093753881575e-27,1.0753056001178152e-8,CE10_chr6,307185000
34252,19,4,6.080946356270814,3.437030184053091e-5,3.072749810151265e-7,CE10_chr7,342525000
34277,88,6,10.05849832343586,2.6898370948954e-4,1.2697290585617085e-6,CE10_chr7,342775000
36219,34,6,7.921924414655115,1.0574760560222844e-6,1.1957299816955924e-8,CE10_chr8,362195000
36497,61,10,10.24287485406484,5.66523111834658e-10,2.3137048943411287e-9,CE10_chr8,364975000
40547,25,9,8.55720284818253,1.7680120280036342e-12,3.6908254230638696e-12,CE10_chr8,405475000
