win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
0,44,0,3.54629768552023,1,0.07216422373358522,CE10_chr1,5000
1,22,0,0.10048769973297424,1,0.8377402452244345,CE10_chr1,15000
2,10,0,0.2235350837122144,1,0.7185796061229062,CE10_chr1,25000
3,21,0,1.774095664443856,1,0.2566427199959668,CE10_chr1,35000
4,23,0,-0.5535278113529684,1,0.9480511327601702,CE10_chr1,45000
5,6,0,0.93205574339966,1,0.36800650145278424,CE10_chr1,55000
6,20,0,2.1558913898149634,1,0.14419486135094828,CE10_chr1,65000
7,1,0,-0.9728389090903068,1,0.9578312027890103,CE10_chr1,75000
9,1,0,-1.7512560601221996,1,0.996060697506453,CE10_chr1,95000
10,1,0,0.943682785273483,1,0.2855047071951924,CE10_chr1,105000
13,1,0,0.6572872810022636,1,0.4113912088161597,CE10_chr1,135000
14,21,0,1.9084910432899596,1,0.21659666523964485,CE10_chr1,145000
15,91,0,2.505827365534446,1,0.5792388424482292,CE10_chr1,155000
16,81,0,3.562145268160352,1,0.26331557727099486,CE10_chr1,165000
17,95,2,2.3011913266927144,0.2457591989359997,0.6463312974155146,CE10_chr1,175000
18,87,0,2.2854813937840666,1,0.6163765223188328,CE10_chr1,185000
19,133,0,2.5324654285116175,1,0.7094227692665037,CE10_chr1,195000
20,78,1,2.8395747548250316,0.5433902522560855,0.4231441126513882,CE10_chr1,205000
21,119,2,4.172535118333857,0.33409932347629573,0.30054650503530844,CE10_chr1,215000
22,192,3,3.7863408346390894,0.30157043734893585,0.541333653085609,CE10_chr1,225000
23,277,1,2.5099196815431277,0.938205630767974,0.7792326235891569,CE10_chr1,235000
24,162,1,4.4175735056923795,0.8037084859769748,0.3641854024844394,CE10_chr1,245000
25,238,3,2.2163120595829997,0.425557103966388,0.8440246448143123,CE10_chr1,255000
26,145,2,4.441649644312189,0.42607142465339903,0.3225900379995701,CE10_chr1,265000
27,143,0,2.0838564390447405,1,0.8068014904235048,CE10_chr1,275000
28,105,1,3.421343471661726,0.651906885507558,0.41414890468229215,CE10_chr1,285000
29,183,3,2.4804248780765397,0.27719258323194196,0.7883575325392632,CE10_chr1,295000
30,202,2,3.614176968690684,0.6007539668907597,0.5853347985956574,CE10_chr1,305000
31,199,0,0.15066082480449608,1,0.9829949033813704,CE10_chr1,315000
32,236,3,2.87267459579352,0.4202814855575469,0.738194616690902,CE10_chr1,325000
33,111,0,2.5493575746124364,1,0.6465252296826951,CE10_chr1,335000
34,98,1,3.029841885970389,0.6265357195457308,0.479072911230329,CE10_chr1,345000
35,1,0,0.5542289849122265,1,0.4599001568660249,CE10_chr1,355000
36,78,2,3.4826879883483928,0.18363711766997076,0.26443696594589994,CE10_chr1,365000
37,202,1,3.4279102850366203,0.8686865206717117,0.62487828718393,CE10_chr1,375000
38,144,2,0.5874305657668732,0.4226500918644475,0.9573625071466234,CE10_chr1,385000
39,121,1,2.102471427443179,0.703613412600792,0.7650020525782085,CE10_chr1,395000
40,88,1,2.068059459341793,0.5870503288661119,0.6734462017075284,CE10_chr1,405000
41,94,1,3.1529769350319325,0.6112160819257733,0.42905180351889594,CE10_chr1,415000
42,179,1,4.032144427226942,0.8345374043352652,0.47386032588040017,CE10_chr1,425000
43,80,1,3.2604064456972077,0.5524767862361895,0.3274822416854113,CE10_chr1,435000
44,175,5,6.692403775567831,0.03213534748294637,0.06091601020968351,CE10_chr1,445000
45,218,1,2.4355780481312532,0.8881921175764227,0.8116028228129459,CE10_chr1,455000
46,149,1,4.427159166740282,0.7763113260213527,0.33509638672882325,CE10_chr1,465000
47,196,3,3.972160948908711,0.3124413727808383,0.5036488886738124,CE10_chr1,475000
48,218,4,3.9726873490480177,0.17592101426178047,0.5107619555951785,CE10_chr1,485000
49,59,0,2.0718877480787397,1,0.5153019070048885,CE10_chr1,495000
50,151,0,5.329092723633133,1,0.17857072147350703,CE10_chr1,505000
51,167,1,1.1260476531883383,0.8133287232842966,0.93326825833689675,CE10_chr1,515000
52,98,1,1.5336200413991523,0.6265357195457308,0.8132463584064313,CE10_chr1,525000
53,91,2,2.45199634015364,0.2310092519111845,0.5927619617643117,CE10_chr1,535000
54,157,2,4.485099140288095,0.4662592979590112,0.34053296071479866,CE10_chr1,545000
55,107,0,2.2754790031886287,1,0.694154340953888,CE10_chr1,555000
56,83,1,3.4580664957718006,0.5657686732081884,0.29746262051004013,CE10_chr1,565000
57,128,0,3.224908915153161,1,0.5456282371028958,CE10_chr1,575000
58,50,1,3.6056258548457474,0.3949939328624637,0.09161598951577754,CE10_chr1,585000
59,117,0,2.313779094042447,1,0.7147449432550311,CE10_chr1,595000
60,118,0,2.639210778109276,1,0.6483985051448131,CE10_chr1,605000
61,142,0,1.1022151287237103,1,0.9221878701534416,CE10_chr1,615000
62,98,0,1.3779081793051928,1,0.8384233979409084,CE10_chr1,625000
63,164,1,3.3672500294869687,0.807614687106033,0.5970906234199529,CE10_chr1,635000
64,154,6,4.5783991099199515,0.0047822260250723,0.3155033960370688,CE10_chr1,645000
65,122,2,3.4700196761759883,0.3449856418477501,0.4687866325179817,CE10_chr1,655000
66,101,4,4.698828874298911,0.018984028102725,0.14458638391419987,CE10_chr1,665000
67,87,0,1.699511596136346,1,0.7515221955063228,CE10_chr1,675000
68,57,0,3.060564550462189,1,0.23000399559934448,CE10_chr1,685000
69,124,2,2.159735494827189,0.3522106576887805,0.7609832614359864,CE10_chr1,695000
70,124,2,2.5601203585994985,0.3522106576887805,0.6822454651679956,CE10_chr1,705000
71,274,4,7.232911249205429,0.2944531806594026,0.01606785570731461,CE10_chr1,715000
72,203,6,10.356393457331846,0.0171109931536795,2.2899436920187e-4,CE10_chr1,725000
73,138,2,4.222133189208512,0.4019052284782492,0.3499006942234679,CE10_chr1,735000
74,1,0,1.3432768879884658,1,0.14810948969757787,CE10_chr1,745000
76,13,0,3.508322038695437,1,0.002782449256297,CE10_chr1,765000
77,31,0,1.425487194479405,1,0.48723701283014353,CE10_chr1,775000
78,133,3,5.911864064368137,0.14905889247569076,0.08058624621608568,CE10_chr1,785000
79,110,2,4.314396828185607,0.3011523691000814,0.23999188978330732,CE10_chr1,795000
80,169,2,4.4482060123804645,0.504723768617896,0.3698545691204541,CE10_chr1,805000
81,155,2,5.561223713042862,0.45967671379829234,0.15269417252526007,CE10_chr1,815000
82,80,0,5.569010837474215,1,0.02282157265303441,CE10_chr1,825000
83,160,3,5.53286805376824,0.2161180463952501,0.1637935725271058,CE10_chr1,835000
84,164,2,5.034770133308886,0.4889157849382488,0.24809590135980408,CE10_chr1,845000
85,118,2,1.961607352152939,0.33045849872280664,0.7837457716837375,CE10_chr1,855000
86,200,1,3.44131654786005,0.8660203251420383,0.6209825666076836,CE10_chr1,865000
87,127,1,3.831161878453029,0.7209579114149411,0.40227533617462263,CE10_chr1,875000
88,185,0,2.8816594660497565,1,0.7207784447083023,CE10_chr1,885000
