win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
3880,57,12,8.81255014350458,4.662121353335553e-13,2.191708354803979e-7,CE10_chr1,38805000
9136,103,13,11.007877711894002,4.631415851137823e-11,3.8055841933282153e-7,CE10_chr2,91365000
13439,18,5,6.0625911189973305,7.686037959271432e-7,2.490864801085735e-7,CE10_chr3,134395000
24193,40,4,7.786661910447105,6.8560642700945e-4,1.5362093519488698e-7,CE10_chr5,241935000
30336,96,16,13.015987092768857,3.111125219948102e-15,7.441824934062424e-11,CE10_chr6,303365000
30633,143,21,12.336772567588746,2.374222510143237e-18,3.465497342425295e-7,CE10_chr6,306335000
30718,120,24,13.237341331918248,4.3096591369883016e-24,1.916300118587344e-9,CE10_chr6,307185000
31461,201,14,12.791125011243466,2.2121085970396173e-8,6.282835798288033e-7,CE10_chr7,314615000
35345,142,18,12.014000630935952,8.603375140276779e-15,8.205446471176714e-7,CE10_chr7,353455000
36219,34,3,7.153248501455011,0.00474699479705852,3.968459689751569e-7,CE10_chr8,362195000
36936,207,15,13.675774535733629,4.120916157177587e-9,4.57641345930071e-8,CE10_chr8,369365000
40547,25,7,7.948727594888648,4.104446291757019e-9,1.6083145926160114e-10,CE10_chr8,405475000
