win,SNPs,hits,Z,top_candidate_p,Z_pVal,chr,pos
0,25,3,4.097357273930686,0.00195067688973882,0.02779575521175481,CE10_chr1,5000
1,12,0,0.9141926454735384,1,0.3302407658787865,CE10_chr1,15000
2,3,0,0.33506398385974784,1,0.4274713656928898,CE10_chr1,25000
3,11,0,0.28530891581560136,1,0.4900423849771993,CE10_chr1,35000
4,14,0,1.8431690221640205,1,0.1587917080733804,CE10_chr1,45000
5,5,0,-0.6090941029216073,1,0.7357582243288356,CE10_chr1,55000
6,13,1,1.4049903318967072,0.12247897700103214,0.2287016770443031,CE10_chr1,65000
7,1,0,0.00840735230211582,1,0.5306737214653248,CE10_chr1,75000
9,1,0,1.2990233227197805,1,0.12785406704747426,CE10_chr1,95000
10,1,0,0.7295497578019444,1,0.2738794596423715,CE10_chr1,105000
13,1,0,-0.3945762011662835,1,0.6757640921597392,CE10_chr1,135000
14,7,0,-0.3865975174157437,1,0.6721925015658557,CE10_chr1,145000
15,37,0,-0.12719699751134417,1,0.5929806832674276,CE10_chr1,155000
16,41,0,-3.492114853150007,1,0.9453998558524608,CE10_chr1,165000
17,39,0,0.14544957679799955,1,0.5454181766305677,CE10_chr1,175000
18,58,0,-0.956622003770594,1,0.6677903162939496,CE10_chr1,185000
19,80,4,1.9771163749701912,0.00865918889286073,0.27104076665226773,CE10_chr1,195000
20,46,0,0.19703317499194545,1,0.5305931356761695,CE10_chr1,205000
21,47,1,-0.9806447103681704,0.37647460510880015,0.7004292366435654,CE10_chr1,215000
22,108,0,1.7392944726505166,1,0.2413429001307006,CE10_chr1,225000
23,94,0,-1.5366192356571815,1,0.61942955352713,CE10_chr1,235000
24,69,1,-1.0031808852175352,0.500162970100801,0.6422852885613177,CE10_chr1,245000
25,103,1,3.547905029946127,0.644839185294927,0.12489847652413566,CE10_chr1,255000
26,62,1,1.143066355008719,0.463731774792815,0.38240448464271326,CE10_chr1,265000
27,85,2,3.6398319889342066,0.2090042151160357,0.13351214216083362,CE10_chr1,275000
28,48,1,2.9086012211871592,0.3827098590577121,0.16897651451817874,CE10_chr1,285000
29,72,1,3.703364037771768,0.5150086297258372,0.13003417859276734,CE10_chr1,295000
30,87,1,4.070674705626115,0.5828791200667797,0.10795535194392358,CE10_chr1,305000
31,77,0,-2.9036616197115066,1,0.8092289978620945,CE10_chr1,315000
32,134,0,-2.5856314763765953,1,0.5527910912971807,CE10_chr1,325000
33,65,0,0.4417443625817983,1,0.4693872219601126,CE10_chr1,335000
34,40,1,0.5731910925121221,0.3310282414303197,0.47388515685155785,CE10_chr1,345000
35,1,0,0.2985505825763404,1,0.42236137794334094,CE10_chr1,355000
36,35,2,1.3385733052806783,0.04785867545512833,0.3418351440675712,CE10_chr1,365000
37,106,2,-0.13568837351610136,0.28640911529049345,0.4256434855106128,CE10_chr1,375000
38,77,0,3.980534320063415,1,0.1139319622560353,CE10_chr1,385000
39,68,1,4.084420991174012,0.4951141112129304,0.10447093118935812,CE10_chr1,395000
40,48,0,-0.03246464606651422,1,0.5628195149939914,CE10_chr1,405000
41,41,0,1.6062996564165797,1,0.3123122612391014,CE10_chr1,415000
42,69,0,1.0797123255789622,1,0.3829548784905504,CE10_chr1,425000
43,34,2,3.9576103363747768,0.04541839164429414,0.056057880113627,CE10_chr1,435000
44,88,1,-1.0827746962938185,0.5870503288661119,0.5914255068262747,CE10_chr1,445000
45,105,2,4.884026026884349,0.2827172186216344,0.0643789634330485,CE10_chr1,455000
46,67,1,1.1938725668573686,0.4900142537504347,0.3714066142524346,CE10_chr1,465000
47,88,0,3.0090947704708513,1,0.17455344123225824,CE10_chr1,475000
48,112,7,4.9061859304599915,1.4500074810911e-4,0.0589957117298624,CE10_chr1,485000
49,25,0,-0.3790848274748178,1,0.6530051997353974,CE10_chr1,495000
50,56,0,1.9229995915116176,1,0.2863675011940803,CE10_chr1,505000
51,76,0,3.540811616231668,1,0.14164081794552197,CE10_chr1,515000
52,53,0,3.0889738295524447,1,0.16089365157708224,CE10_chr1,525000
53,41,1,3.970987395013957,0.33771795901601653,0.07225794525377394,CE10_chr1,535000
54,74,0,0.6790239814125456,1,0.4235060262730058,CE10_chr1,545000
55,63,1,1.584765677603527,0.4690944570448869,0.32705874459394557,CE10_chr1,555000
56,58,0,-2.5804658880326077,1,0.8401918459954292,CE10_chr1,565000
57,59,0,2.265884228228882,1,0.24869895799619068,CE10_chr1,575000
58,30,0,1.5241848050740463,1,0.2977155684686621,CE10_chr1,585000
59,72,0,5.671121735395451,1,0.04096572577677404,CE10_chr1,595000
60,69,0,2.112920125214937,1,0.2655717897021451,CE10_chr1,605000
61,59,1,1.5102199727045045,0.4473165228376149,0.3374240569995418,CE10_chr1,615000
62,53,0,3.8777015335443346,1,0.10100266717111672,CE10_chr1,625000
63,63,2,1.07328304245435,0.13124547516435983,0.3904338723458351,CE10_chr1,635000
